timestamp,latitude,longitude
1751056750,30.293226351727,-179.2048268152
1751056753,30.157612939813,-179.05664885324
1751056756,30.021802516261,-178.90891139243
1751056819,27.126568154924,-175.90256105782
1751056824,26.893477387959,-175.67140149293
1751056856,25.391179847863,-174.21585355546
1751057023,17.307444729579,-167.18342148338
1751057199,8.4900490117102,-160.47882963229
1751057303,3.2053483578164,-156.69831599378
1751057315,2.5939143420661,-156.26626403729
1751057323,2.1861894051229,-155.97849745752
1751057328,1.9313278882534,-155.79873586186
